Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
CL10C220JB8NFNC,2,Samsung,CL10C220JB8NFNC,https://octopart.com/cl10c220jb8nfnc-samsung-24958047,Cap Ceramic 22pF 50V C0G 5% SMD 0603 125°C Paper T/R,,"C1, C2",,Production (Last Updated: 2 years ago),28w,Compliant,2,1276-2228-1-ND,187-CL10C220JB8NFNC,,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,0,111964,,,,1,1,,,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=24958047&sid=459&sig=0905411&vpid=72525017,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=24958047&sid=2401&sig=006e387&vpid=659501356,,,,Digi-Key,1276-2228-1-ND,Cut Tape,0.1,0.2,0.2,0,1,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=24958047&sid=459&sig=0905411&vpid=72525017,
CL10B104KB8NNNL,4,Samsung,CL10B104KB8NNNL,https://octopart.com/cl10b104kb8nnnl-samsung-21395620,CL10 Series 0603 0.1 uF 50 V ±10% Tolerance X7R Multilayer Ceramic Capacitor,,"C3,C8,C14,C15",,Production (Last Updated: 2 years ago),28w,Compliant,4,1276-CL10B104KB8NNNLCT-ND,187-CL10B104KB8NNNL,,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,2211407,258476,,,,1,1,,,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=21395620&sid=459&sig=0e9765d&vpid=578720948,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=21395620&sid=2401&sig=00540b2&vpid=659501131,,,,Digi-Key,1276-CL10B104KB8NNNLCT-ND,Cut Tape,0.1,0.4,0.4,2211407,1,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=21395620&sid=459&sig=0e9765d&vpid=578720948,
CL10A105KA8NNNC,4,Samsung,CL10A105KA8NNNC,https://octopart.com/cl10a105ka8nnnc-samsung-9300957,"Ceramic capacitor SMD-0603 1000nF/25V X7R# K +-10%, Samsung, RoHS",,"C4,C5,C9,C13",,Production (Last Updated: 2 years ago),28w,Compliant,4,1276-1102-1-ND,187-CL10A105KA8NNNC,82AC9275,,7664838,Cut Tape,Tape & Reel,,,,0.1,0.1,0.125,,,0,5831,28235,,316000,1,1,1,,4000,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=9300957&sid=459&sig=02e1842&vpid=72523541,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=9300957&sid=2401&sig=0b70193&vpid=659501016,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=9300957&sid=2402&sig=0115595&vpid=511545380,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=9300957&sid=10022&sig=00cd7ab&vpid=199121182,Digi-Key,1276-1102-1-ND,Cut Tape,0.1,0.4,0.4,0,1,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=9300957&sid=459&sig=02e1842&vpid=72523541,
MAL215099013E3,1,Vishay,MAL215099013E3,https://octopart.com/mal215099013e3-vishay-44434450,Cap Aluminum 680uF 35V 20% (12.5 X 16mm) SMD 1007mA 1000 hr 105°C Blister T/R,,C6,,,26w,Compliant,1,4398PHCT-ND,594-MAL215099013E3,14AC4386,,,Cut Tape,Tape & Reel,,,,3.28,3.28,3.12,,,245,0,0,,,1,1,1,,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=44434450&sid=459&sig=0551222&vpid=34053374,https://octopart.com/click/track?ai4=706&c=1&country=US&ct=offers&ppid=44434450&sid=2401&sig=0a408e2&vpid=589787992,https://octopart.com/click/track?ai4=706&c=1&country=US&ct=offers&ppid=44434450&sid=2402&sig=03f7973&vpid=423931051,,,Newark,14AC4386,,3.12,3.12,3.12,0,1,https://octopart.com/click/track?ai4=706&c=1&country=US&ct=offers&ppid=44434450&sid=2402&sig=03f7973&vpid=423931051,
EXV227M016A9HAA,1,KEMET,EXV227M016A9HAA,https://octopart.com/exv227m016a9haa-kemet-24151949,Cap Aluminum 220uF 16V 20% (6.3 X 7.7mm) Solder Pin Cylindrical 340 mOhm 196mA 3000hr 105°C T/R,,C7,,,48w,Compliant,1,399-EXV227M016A9HAACT-ND,80-EXV227M016A9HAA,28W1715,,,Cut Tape,Tape & Reel,,,,0.73,0.73,0.62,,,240,0,0,,,1,1,1,,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=24151949&sid=459&sig=0fc373c&vpid=709644915,https://octopart.com/click/track?ai4=706&c=1&country=US&ct=offers&ppid=24151949&sid=2401&sig=093c3f0&vpid=480553056,https://octopart.com/click/track?ai4=706&c=1&country=US&ct=offers&ppid=24151949&sid=2402&sig=0f93e19&vpid=64135465,,,Newark,28W1715,,0.62,0.62,0.62,0,1,https://octopart.com/click/track?ai4=706&c=1&country=US&ct=offers&ppid=24151949&sid=2402&sig=0f93e19&vpid=64135465,
CL21A106KAYNNNE,1,Samsung,CL21A106KAYNNNE,https://octopart.com/cl21a106kaynnne-samsung-19832166,Cap Ceramic 10uF 25V X5R 10% SMD 0805 85°C Embossed T/R,,C12,,Production (Last Updated: 2 years ago),28w,Compliant,1,1276-2891-1-ND,187-CL21A106KAYNNNE,82AC9387,,,Cut Tape,Tape & Reel,,,,0.2,0.2,0.25,,,0,1523,1970,,,1,1,1,,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=19832166&sid=459&sig=0010341&vpid=72525712,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=19832166&sid=2401&sig=0b6b0b2&vpid=658751389,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=19832166&sid=2402&sig=0192c94&vpid=511545694,,,Digi-Key,1276-2891-1-ND,Cut Tape,0.2,0.2,0.2,0,1,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=19832166&sid=459&sig=0010341&vpid=72525712,
150120BS75000,1,Würth Elektronik,150120BS75000,https://octopart.com/150120bs75000-w%C3%BCrth+elektronik-29717786,"Led, Blue, 470 Nm, 3.2 V, 30 Ma, 145 Mcd Rohs Compliant: Yes",,D1,,,17w,Compliant,1,732-4989-1-ND,710-150120BS75000,95W3806,,8154243,Cut Tape,Tape & Reel,,,,0.22,0.22,,,,1972,26703,2738,,700,1,1,5,,50,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=29717786&sid=459&sig=0535c43&vpid=91297482,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=29717786&sid=2401&sig=0d67cca&vpid=165625635,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=29717786&sid=2402&sig=0ba8803&vpid=82629816,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=29717786&sid=10022&sig=0f41dba&vpid=575927545,Digi-Key,732-4989-1-ND,Cut Tape,0.22,0.22,0.22,1972,1,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=29717786&sid=459&sig=0535c43&vpid=91297482,
SK54A-LTP,1,MCC,SK54A-LTP,https://octopart.com/sk54a-ltp-mcc-53603099,Rectifier Diode Schottky 40V 5A 2-Pin SMA T/R,,D2,,,17w,Compliant,1,SK54A-LTPMSCT-ND,833-SK54A-LTP,,,,Cut Tape,Tape & Reel,,,,0.51,0.5,,,,2549,12096,,,,1,1,,,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=53603099&sid=459&sig=0bd3552&vpid=180698753,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=53603099&sid=2401&sig=0c8005c&vpid=486713158,,,,Mouser,833-SK54A-LTP,Tape & Reel,0.5,0.5,0.5,12096,1,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=53603099&sid=2401&sig=0c8005c&vpid=486713158,
BAV70-E3-08,12,Vishay,BAV70-E3-08,https://octopart.com/bav70-e3-08-vishay-46456617,Rectifier Diode Small Signal Switching Si 70V 0.25A 6ns 3-Pin SOT-23 T/R,,"D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14",,,52w,Compliant,12,BAV70-E3-08CT-ND,78-BAV70-E3-08,09X2414,,8151232,Cut Tape,Tape & Reel,,,,0.189,0.189,,,,16083,3413,0,,800,1,1,15000,,300,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=46456617&sid=459&sig=001eafe&vpid=159729154,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=46456617&sid=2401&sig=00c99f1&vpid=116125061,https://octopart.com/click/track?ai4=706&c=1&country=US&ct=offers&ppid=46456617&sid=2402&sig=0e1af56&vpid=249250148,,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=46456617&sid=10022&sig=0ffa22e&vpid=575894559,Digi-Key,BAV70-E3-08CT-ND,Cut Tape,0.189,2.268,2.268,16083,1,https://octopart.com/click/track?ai4=706&country=US&ct=offers&ppid=46456617&sid=459&sig=001eafe&vpid=159729154,
