Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_HandSoldering",87.757000,-96.581000,270.000000,top
"C2","22pF","C_0603_HandSoldering",87.757000,-90.485000,90.000000,top
"C3","100nF","C_0603_HandSoldering",88.646000,-131.506000,90.000000,top
"C4","1uF","C_0603_HandSoldering",96.964500,-72.710000,270.000000,top
"C5","1uF","C_0603_HandSoldering",96.964500,-103.629500,270.000000,top
"C7","220uF","CP_Elec_6.3x7.7",90.264000,-48.260000,0.000000,top
"C8","100nF","C_0603_HandSoldering",98.618000,-43.688000,0.000000,top
"C9","1uF","C_0603_HandSoldering",94.107000,-103.629500,270.000000,top
"C12","10uF","C_0805_HandSoldering",98.826000,-41.148000,180.000000,top
"C13","1uF","C_0603_HandSoldering",93.980000,-72.773500,270.000000,top
"C14","100nF","C_0603_HandSoldering",64.632800,-98.374200,0.000000,top
"C15","100nF","C_0603_HandSoldering",79.999800,-87.452200,180.000000,top
"D1","LED","LED_1206_HandSoldering",69.786500,-61.658500,180.000000,top
"D3","BAV70","SOT-23",126.873000,-59.410600,90.000000,top
"D4","BAV70","SOT-23",132.826800,-59.350400,90.000000,top
"D5","BAV70","SOT-23",132.826800,-83.448400,270.000000,top
"D6","BAV70","SOT-23",126.847600,-83.448400,270.000000,top
"D7","BAV70","SOT-23",132.826800,-111.794800,270.000000,top
"D8","BAV70","SOT-23",126.847600,-111.820200,270.000000,top
"D9","BAV70","SOT-23",126.847600,-140.242800,270.000000,top
"D10","BAV70","SOT-23",133.995200,-140.192000,270.000000,top
"D11","BAV70","SOT-23",132.826800,-115.630200,90.000000,top
"D12","BAV70","SOT-23",126.847600,-115.646200,90.000000,top
"D13","BAV70","SOT-23",126.847600,-87.442800,90.000000,top
"D14","BAV70","SOT-23",132.826800,-87.417400,90.000000,top
"J4","Conn_02x03_Counter_Clockwise","Pin_Header_Straight_2x03_Pitch2.54mm_SMD",72.326500,-70.548500,0.000000,top
"L1","33uH","L_12x12mm_h8mm",90.046000,-33.020000,180.000000,top
"R1","10k","R_0603_HandSoldering",116.756000,-144.526000,0.000000,top
"R2","1k","R_0603_HandSoldering",98.976000,-148.717000,0.000000,top
"R3","1k","R_0603_HandSoldering",98.976000,-152.527000,0.000000,top
"R4","1k","R_0603_HandSoldering",116.797000,-152.908000,180.000000,top
"R5","120","R_0603_HandSoldering",116.797000,-150.622000,0.000000,top
"R6","1k","R_0603_HandSoldering",116.756000,-148.209000,0.000000,top
"R7","1k","R_0603_HandSoldering",91.122500,-72.664500,270.000000,top
"R8","1k","R_0603_HandSoldering",91.122500,-103.695500,270.000000,top
"R9","1k","R_0603_HandSoldering",76.370000,-61.658500,0.000000,top
"R10","1k","R_0603_HandSoldering",83.566000,-131.488000,90.000000,top
"R11","1k","R_0603_HandSoldering",86.106000,-131.488000,90.000000,top
"RN1","10k","R_Array_Convex_4x0603",117.867000,-51.428500,0.000000,top
"RN2","10k","R_Array_Convex_4x0603",117.867000,-57.194500,0.000000,top
"RN3","10k","R_Array_Convex_4x0603",117.867000,-64.382500,0.000000,top
"RN4","10k","R_Array_Convex_4x0603",117.867000,-71.545500,0.000000,top
"RN5","10k","R_Array_Convex_4x0603",117.867000,-79.711500,0.000000,top
"RN6","10k","R_Array_Convex_4x0603",117.867000,-86.747940,0.000000,top
"RN7","10k","R_Array_Convex_4x0603",117.867000,-94.354500,0.000000,top
"RN8","10k","R_Array_Convex_4x0603",117.867000,-101.301500,0.000000,top
"RN9","10k","R_Array_Convex_4x0603",117.867000,-109.364604,0.000000,top
"RN10","10k","R_Array_Convex_4x0603",117.867000,-115.633500,0.000000,top
"RN11","10k","R_Array_Convex_4x0603",117.867000,-123.444000,0.000000,top
"RN12","10k","R_Array_Convex_4x0603",117.867000,-130.740000,0.000000,top
"SW1","SW_SPST","SW_SPST_EVQPE1",124.620000,-144.526000,0.000000,top
"SW2","SW_DIP_x05","SW_DIP_x5_W8.61mm_Slide_LowProfile",70.040500,-107.251500,270.000000,top
"U1","ATmega328P-AU","TQFP-32_7x7mm_Pitch0.8mm",72.830000,-93.872000,180.000000,top
"U2","TLC5971PWP","HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad",94.010000,-78.800000,0.000000,top
"U3","TLP290-4","SOP-16_4.4x10.4mm_Pitch1.27mm",109.220000,-67.437000,0.000000,top
"U4","TLP290-4","SOP-16_4.4x10.4mm_Pitch1.27mm",109.347000,-82.677000,0.000000,top
"U5","TLP290-4","SOP-16_4.4x10.4mm_Pitch1.27mm",109.347000,-97.282000,0.000000,top
"U6","TLC5971PWP","HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad",94.010000,-109.855000,0.000000,top
"U7","TLP290-4","SOP-16_4.4x10.4mm_Pitch1.27mm",109.220000,-52.832000,0.000000,top
"U8","APE1707H-50-HF","TO-263-5_TabPin3",107.877000,-33.528000,0.000000,top
"U9","TLP290-4","SOP-16_4.4x10.4mm_Pitch1.27mm",109.220000,-111.887000,0.000000,top
"U10","UM3486EESA","SOIC-8_3.9x4.9mm_Pitch1.27mm",108.552000,-150.622000,0.000000,top
"U11","TLP290-4","SOP-16_4.4x10.4mm_Pitch1.27mm",109.347000,-126.492000,0.000000,top
"Y1","16MHz","Crystal_SMD_0603-2pin_6.0x3.5mm_HandSoldering",84.201000,-93.599000,90.000000,top
