Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
RNCP0603FTD10K0,34,Stackpole Electronics,RNCP0603FTD10K0,https://octopart.com/rncp0603ftd10k0-stackpole+electronics-19220255,Res Thin Film 0603 10K Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R,,"R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61",,,14w,Compliant,34,RNCP0603FTD10K0CT-ND,708-RNCP0603FTD10K0,,RNCP0603FTD10K0,,Cut Tape,Tape & Reel,,Bulk,,0.059,0.058,,,,1127433,47188,,55000,,1,1,,5000,,https://octopart.com/opatz8j6/a1?t=AXt1fqD0sivJK0cvwR8fQ1k28ooqY0fjbZzc44mB7JLWFXqyFLcoDDKWDPObfkWw0a3ceuSondvYy085GxdncI0esT-obkDetIB5g6PFJIxXD0rE0VmDjOPv_0y0sLEL1XiyWE5dbXY_QHTWWR3hNsx44rg6831hYXklL9LY6tsIoUFaBmWrYVpqb2psdRmyxaEe1iBvvYIA4v6aXAo3gMLnRUFaCEbHRBP6HYVhltF7_4bvYAhhzNS6Mjz1Vt7l_IoQ,https://octopart.com/opatz8j6/a1?t=gU9gMN-BzBOI3u4aXbF6T0XQDTagMfguD3sESqYmcx60wyWME4udawO0_Fyggz_v2U3mc4XxtklM_sZ4hxi5htjvvtbGHvyaansAQQVOQxFQL6-dT5ck0sw8Czy4mLSbf3VcCc5G6w4JAJf9aVbKxeEYd5fyoGZ0zu6MRbAk09oFvYW_f4nrvPM6P7OUHu5bYeInE21Om2fDRR3sjJUVF8rMAY6J6d_pus8xtFTqoEg21SXByPKiVCG6vAs9E3C1qOAI_eE,,https://octopart.com/opatz8j6/a1?t=7oP3JJlCPiXOF7T8J42-FphfPj8ZUb_7c06wdGVskBmhxm0zFZ95wR6NvCjvKqKb5or5b_AKhuAYsRHkw10G4KlB8ITDvH1NHvO8jWmzrYwDbTtFHwvR4w4MVw15O_NHJA6DmSbxQsKkTSTPgLDIJhO9TZMkGVH51ijgJLqt4AQjoOHlw37P2diC-4NwCUIzopkEC11FT10hQj4Vw80N6R7Kj6OPtm6OnJ8zV8rhqEcJq8GgIQxP41TG4HlKLmAFhv3MX_c,,Mouser,708-RNCP0603FTD10K0,Tape & Reel,0.058,1.9720000000000002,1.9720000000000002,47188,1,https://octopart.com/opatz8j6/a1?t=gU9gMN-BzBOI3u4aXbF6T0XQDTagMfguD3sESqYmcx60wyWME4udawO0_Fyggz_v2U3mc4XxtklM_sZ4hxi5htjvvtbGHvyaansAQQVOQxFQL6-dT5ck0sw8Czy4mLSbf3VcCc5G6w4JAJf9aVbKxeEYd5fyoGZ0zu6MRbAk09oFvYW_f4nrvPM6P7OUHu5bYeInE21Om2fDRR3sjJUVF8rMAY6J6d_pus8xtFTqoEg21SXByPKiVCG6vAs9E3C1qOAI_eE,
RNCP0603FTD1K00,20,Stackpole Electronics,RNCP0603FTD1K00,https://octopart.com/rncp0603ftd1k00-stackpole+electronics-19220270,Res Thin Film 0603 1K Ohm 1% 0.125W(1/8W) ±100ppm/C Sulfur Resistant Pad SMD T/R,,"R1, R2, R3, R5, R6, R7, R8, R9, R10, R12, R13, R15, R16, R17, R18, R19, R20, R22, R23, R25",,,14w,Compliant,20,RNCP0603FTD1K00CT-ND,708-RNCP0603FTD1K00,,RNCP0603FTD1K00,,Cut Tape,Tape & Reel,,Bulk,,0.059,0.058,,,,280655,208332,,20000,,1,1,,5000,,https://octopart.com/opatz8j6/a1?t=9G2QJTL1b8ruyI0hk1dySenbCrdgJ1FMsnFsNmwhuq3pyUmyZSisTQ7BCdA_qRUZhYyQZps0Udq1y0hpU0GOinfaXH09kn0HTg4En0GsTUxeiiT0IBLTiFAC3pQidPkqUtBCKBJsFD-o389oqwlZBOjti0b7GpklsF2QCYgPf88VwOFXHhczxMXCpqJ7kOlypsDBaY0QHGaoLI0HiEdoR_134aGi7_JTZd83U7KIRZHYVJaE-9wBGww0zGAILKHhN-s_,https://octopart.com/opatz8j6/a1?t=RHEdtDcHI7xM5COq4FRPVKc6LgRJOoaPCl0SZHQOSLZ4axZX2GYemk68oGVD-wtfflBQBYWfrsWjgKOFg9KTbnYo7SfP3AhK9_NE-P5sSMCoCYsGOheU-TfF5Ym-1QPGfZ41yZSbipQokBUuO4hD6RqmGRmft1JtN0z9ZVAm1VnntX_zBzI1NC5nvQPSG1_BTDoS5q6rlsHviG088cUAKlBPNUcoO_k4LlE449my-Fn7EZuqDGmg2j5AMQbW5uff_dnzX24,,https://octopart.com/opatz8j6/a1?t=tno6c64ly8x3ngNnMowaoxgI7nVTuqbOzbdRhyYHAZD21hmieIc_bxeZV9sh-NJ6YUsVN3yr3eVoNHGEN4KXMWtEGBWBWSiaZbAgyNM1odHpa4rdhSoNf2TjPgQ2cLTVTCWwjZTR1SXWs6FEKU66ryJCVLoWJ8J5531vviSYBus2qHbc3Cuha3d8a8say2ergEKHsHdhYCYLXH4e1kXU1RXMP49Q1BY3PsaHDcBx14hGRg-yj4kP5jNWSFLadTjTxrXM7Lc,,Mouser,708-RNCP0603FTD1K00,Tape & Reel,0.058,1.1600000000000001,1.1600000000000001,208332,1,https://octopart.com/opatz8j6/a1?t=RHEdtDcHI7xM5COq4FRPVKc6LgRJOoaPCl0SZHQOSLZ4axZX2GYemk68oGVD-wtfflBQBYWfrsWjgKOFg9KTbnYo7SfP3AhK9_NE-P5sSMCoCYsGOheU-TfF5Ym-1QPGfZ41yZSbipQokBUuO4hD6RqmGRmft1JtN0z9ZVAm1VnntX_zBzI1NC5nvQPSG1_BTDoS5q6rlsHviG088cUAKlBPNUcoO_k4LlE449my-Fn7EZuqDGmg2j5AMQbW5uff_dnzX24,
RC0603JR-07120RL,5,Yageo,RC0603JR-07120RL,https://octopart.com/rc0603jr-07120rl-yageo-40952985,"SMD Chip Resistor, 120 Ohm, ± 5%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",,"R4, R11, R14, R21, R24",,,20w,Compliant,5,311-120GRCT-ND,603-RC0603JR-07120RL,68R0151,,,Cut Tape,Tape & Reel,,,,0.1,0.1,0.065,,,445619,273445,903,,,1,1,1,,,https://octopart.com/opatz8j6/a1?t=dq2o_fv-48fAFsAnE5XT4BmfBruUhvMzh3UA1ITZJgaD53TKYQPSMh-fNNceRPAoP6MnY_KjJpLNNYEg4OI39ufJKIor0oY98UqKEZGafO4Ie_YgSr9S08Xc4tPN0sHewkc90ItufWtPgzVg5c6-SU2hLsbLOP9NqdjiZUhx7Tg9wSx-HMxpRjVgh2hjRN_etVyBcjgRlJO8jMFPErOfWrRoa1yGs1yYE0hu4LfhbJi8a4QmeNRw44LiZXIr1dSGh2JrXw,https://octopart.com/opatz8j6/a1?t=V-p5YWCFzG9Ax335_O7vksyEdJN1iTSP0yp3HuX_79Kfah8n9sC0lII-UhX4o4OzOpFSV5fsFbQB5bW6bvwrLOjRtZNO3vOnbbFVRAN4Pd4TBi5WxRN1ydf9pLYVk9ne1DZaKzI681J-F9EeReOlyoISxbYoD-pUJzJKJSYyohvvJuboIAEfsqCuv5InXo3K5FNutAqu3ncdUBtPvs7YZtWpLsU1TF3BGhF7fvYfe3H3H31vq_AjNMPJG4TNhaTGX42zAj8,https://octopart.com/opatz8j6/a1?t=U5HWhjCevhICbl7aSwgK6n9P7maLeRgi4Cduos-mruhxemBW5tTW3XVY2YoqtIRM76TlYrfiydkrLg4o64MIgKTR--pqXngvmMuh4VRA4Sc-jkb1JmPWmGQtfqa5Io_4Ln7V-XXaOgonFh81Km0TfzTOsq59AR13OkIr40OgyO0Vk2d6qqvPKNznBON40ezg3IE2jkYmmyp4bOspPWbS2Ybt1l8aowUY48X5ynJg8SVwZBZ7ZDDeWyM4F-fYVI6TF4j2SZs,,,Newark,68R0151,,0.065,0.325,0.325,903,1,https://octopart.com/opatz8j6/a1?t=U5HWhjCevhICbl7aSwgK6n9P7maLeRgi4Cduos-mruhxemBW5tTW3XVY2YoqtIRM76TlYrfiydkrLg4o64MIgKTR--pqXngvmMuh4VRA4Sc-jkb1JmPWmGQtfqa5Io_4Ln7V-XXaOgonFh81Km0TfzTOsq59AR13OkIr40OgyO0Vk2d6qqvPKNznBON40ezg3IE2jkYmmyp4bOspPWbS2Ybt1l8aowUY48X5ynJg8SVwZBZ7ZDDeWyM4F-fYVI6TF4j2SZs,
RC0603FR-074K7L,2,Yageo,RC0603FR-074K7L,https://octopart.com/rc0603fr-074k7l-yageo-55402884,"SMD Chip Resistor, 4.7 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",,"R26, R27",,,20w,Compliant,2,311-4.70KHRCT-ND,603-RC0603FR-074K7L,75X0151,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,8525349,3530712,495000,,,1,1,5000,,,https://octopart.com/opatz8j6/a1?t=SejzBOYk8JwbfpMZ1MnnODKUuOZVoDmOL7-zvdn96wSfUS5NMhemTMaLuluj51zaniJGwv3tzjkBoEChXDaly2MSfO9Om-50Oyqr6gLgx1_Ws_WFvx5tphRo_yG8WcYQchIt78WsymtFgJcZSVBl01mpAlxvA9svnhbla9AX_mtHWSOBXthi5xA7KSDM6DEKph0MkW6NyNsOlix4K1MGSq61Mi9G6qVj_SLVWXXvuCQxXmxkd7I1yDrMUYkXZZAIDg2Z,https://octopart.com/opatz8j6/a1?t=RjaIvZhri87kKNG6gqY10labFpoVNGXcKvsyzT0FHPQHMF9s7QoAKKbBjpFnPQgnanXCMy6iEFQ-O2vNRuFFNCOaj0LcGU4O2zg58Uol3VQk5M4pF9xW8S9G0xy7MCGsz-PxbCUh410K09WwQmWcUosj9OugKTuOgVWDFACi1GzWVGH0ZWRXW9krGzNfSQmREII1egDdFIn0aYAN3QEXqb2q05AKhZrDwkAItKK-8cQRp8ll3M17hFpe7FlzW1mTeDD3bQ,https://octopart.com/opatz8j6/a1?t=-V3nKFcC6ormUehJiyIDE-XTXgOFPGMTa5RKDkSN7CbTdFA1xuuBMu9UfzXafM5ZT899wmghckw1uBVXMmTndNEmDG0lkdK4duCs5rJSxLthVtAl16fNDdAGPHs1BbUwhpxZyy6lRx7apvx2yT-QTk6DhRrJ7XoRjVyhr03jYp46PKsqy1SDQq814FpzGmhjDJWxq2Mp8gYimei1CWOx0J7XXiLe_bxiGEu0og4rNSZ-mnZCy82h14XZeUl8NWn-laKoBg,,,DigiKey,311-4.70KHRCT-ND,Cut Tape,0.1,0.2,0.2,8525349,1,https://octopart.com/opatz8j6/a1?t=SejzBOYk8JwbfpMZ1MnnODKUuOZVoDmOL7-zvdn96wSfUS5NMhemTMaLuluj51zaniJGwv3tzjkBoEChXDaly2MSfO9Om-50Oyqr6gLgx1_Ws_WFvx5tphRo_yG8WcYQchIt78WsymtFgJcZSVBl01mpAlxvA9svnhbla9AX_mtHWSOBXthi5xA7KSDM6DEKph0MkW6NyNsOlix4K1MGSq61Mi9G6qVj_SLVWXXvuCQxXmxkd7I1yDrMUYkXZZAIDg2Z,
SP485ECN-L/TR,5,MaxLinear,SP485ECN-L/TR,https://octopart.com/sp485ecn-l%2Ftr-maxlinear-94414514,SP485E Series 10 Mbps 5 V Enhanced Low EMI Half Duplex RS-485 Transceiver-NSOIC8,,"U2, U3, U4, U5, U6",,,8w,Non-Compliant,5,1016-1826-1-ND,701-SP485ECN-L/TR,,,,Cut Tape,Tape & Reel,,,,1.02,1.02,,,,27194,48878,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=kl_UK49PQTHUwoLAyospTbUTTZ78vIwVQfhNsH3Gxtgg7PRFDhs5QIeOEX3jibMJvv5PIdtxyOqhj2xwaX9InQVvxi-NjMKpuiL2a3MpPmhePWkwI1keeKvnhRJzDltx915gp9420dhjl78V4gBcZ31eVrcaEfJzO5z_HUiyBgpMxDfomZyh2Vi1_YoRDevX_eFcvQ88h8k6cSqpHvp3wRKM378lfxL24qb7uAXT4bN8FMkajirkK5NZ2DGq3bCUkGJq,https://octopart.com/opatz8j6/a1?t=AMqHC3ab1RUjMXUqnodN9bLd1_v1meAEhhZ43KGRj26rFZVczeBUM38h62YC0BkT0pcYiA4-DxunxpTkdb9EFfh4KUmw3DWQGxmhkjNhB8tRNeyhMM4RKhEdv23Vn78ydawhVwMY2C4MENLi__LuR89KRktydfT-iIba4K9nGBYQ8SKH4pYuA-UtROAelhwDlTPmzrvKvTL3fPV-8ZLrEdcvU44QkcLhOULEtiOEcp6fA7TCI_RMHIGugN9fIqCrHGxXtw,,,,DigiKey,1016-1826-1-ND,Cut Tape,1.02,5.1,5.1,27194,1,https://octopart.com/opatz8j6/a1?t=kl_UK49PQTHUwoLAyospTbUTTZ78vIwVQfhNsH3Gxtgg7PRFDhs5QIeOEX3jibMJvv5PIdtxyOqhj2xwaX9InQVvxi-NjMKpuiL2a3MpPmhePWkwI1keeKvnhRJzDltx915gp9420dhjl78V4gBcZ31eVrcaEfJzO5z_HUiyBgpMxDfomZyh2Vi1_YoRDevX_eFcvQ88h8k6cSqpHvp3wRKM378lfxL24qb7uAXT4bN8FMkajirkK5NZ2DGq3bCUkGJq,
DEV-15583,1,SparkFun,DEV-15583,https://octopart.com/dev-15583-sparkfun-103942182,iMXRT1062 Microcontroller Development Board 600MHz CPU 1GB RAM 2GB Flash Linux,,U1,,,6w,,1,1568-DEV-15583-ND,474-DEV-15583,,DEV-15583,,Bulk,,,Bulk,,24.99,29.98,,29.4,,1164,752,,114,,1,1,,1,,https://octopart.com/opatz8j6/a1?t=SGWfiSZsq9MnWax5PKol2ur9bS9mnIrAq9RjHUyRo1R7cvllYlHC89SwcSyJW7DzWIEE4R2_E56HV1CWd1el-h7sFmkOUiBhKNulUobv203FJkYI1M7I59FgYoYBq9FIHToqF6_Vt2TOiJL6ChvHIJj6k3K01hAFpfLkQ-xk2ay-i4CnqrwEcp7D-HVCpnXD25YfXu798yRS6WmqYXdzC6416eMExkUh-9KomujofPXsZ61u9XrCyn60CoMKUWbrCtD9MOo,https://octopart.com/opatz8j6/a1?t=cYmbQtKyRsdY0ZJJBZmbB-umj8cDWGun9J6use4l8cGH2zBTCdTPbr9-qq-w4ammvlg_HhOhqneTXth0it_xBCPu71-qmbtJ7UnHzFkcwwaA9G1JI-ztnqi1ULH_-mkRiEA7EsWH4TbWhRHF15iW-_-Gcew2BB5qKjC1_DfzaeWJg7TVEMKmypcFHXnTicYHl4VLhLcixOHiqGBZ38awGqPGxlrGHcPAVEnK9KpOePNitzvvitutZ-XbZZYOv8APePtIokJi,,https://octopart.com/opatz8j6/a1?t=8TnFxS_VM1B1uvVD3sIfU2_t3skQdABWc4GXf_eh2y9i_QobOkGISalVdlYk96pAB30bRVc9AbQuOQNnYWkMe-24c6ThO2rr4WBJGHWAjFbQT0UCKp5b5pQIivN9HunH3flwgXmlmduPuP-tcbmLGCoOexA6hyCgDOT6bBIHYk6V-mlRy6KxzRIB8dC1CMADQksdcts7J-6AoDiHbAZP7WtWYnjdMQa2lPXEOJzMjjzs_WrHq5idKHaPEQE07LXmqwMk2VlS,,DigiKey,1568-DEV-15583-ND,Bulk,24.99,24.99,24.99,1164,1,https://octopart.com/opatz8j6/a1?t=SGWfiSZsq9MnWax5PKol2ur9bS9mnIrAq9RjHUyRo1R7cvllYlHC89SwcSyJW7DzWIEE4R2_E56HV1CWd1el-h7sFmkOUiBhKNulUobv203FJkYI1M7I59FgYoYBq9FIHToqF6_Vt2TOiJL6ChvHIJj6k3K01hAFpfLkQ-xk2ay-i4CnqrwEcp7D-HVCpnXD25YfXu798yRS6WmqYXdzC6416eMExkUh-9KomujofPXsZ61u9XrCyn60CoMKUWbrCtD9MOo,
BSS138K-13,17,Diodes Inc.,BSS138K-13,https://octopart.com/bss138k-13-diodes+inc.-91620601,BSS138 N-Channel 50 V 310 mA 380 mW Surface Mount Mosfet - SOT-23-3,,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17",,,8w,Non-Compliant,17,BSS138K-13DICT-ND,621-BSS138K-13,28AK6535,,,Cut Tape,Tape & Reel,,,,0.254,0.254,0.259,,,215811,389301,0,,,1,1,5,,,https://octopart.com/opatz8j6/a1?t=2q-yz4firls7TvLWOTnpgffYSHOFsbkEbBX99nHbG_Bdx2vpuRr8brAT36IFt0b7od0ljFydusk5J2akkiYcHOaxR4-Uuai_g2BK-xVM9rTpCtYpjyTpTZRj04u6eu5n44tGg7JiSFChlXy8jMKVxA-es0sy7tC2TooKGa_UIBOmfbeZ7tZ6tDgH5rpFJ32cIXov055MQNJyuzMbNusQTrtoQOB0FUlM9NpxCQ52QaXjgALn2kgmN8zCU7q_KVBjtLTjrA,https://octopart.com/opatz8j6/a1?t=ZZBmixxdD_O7KuOLP--biKkJoxnaQ5PM1V0VU_JPpVdgsc88zI-L1pd_Qf75IJ4hY9o_2sKN9mJDDf6XBp3EZV_7wsXyh0M7OvouAOMsjVcgsfHd5Rs8hxLdpzGfe4M8SZzGP7VsxTWoWJlIuSq7iKPGUBWz8YboCvWEdc1-FoWJW_BGQWlhmDmWG7ALDkztNHBqj-zXbLKgswFF0C_bYRrBnsMOqW-x1RCfKORxq8nWQh4pGOGE4_GlVUyIszR8a8f9IXk,https://octopart.com/opatz8j6/a1?t=p4WQc5RyZajO3F4Hqo6xJoxRtxYG1C4V9ZX47arglgtf-vaE-l48Gj3u07D1NtcOA7Suat31QmdvcpXhCKvekulEy3ueGFWLU2DXnSdDrRkY2-378NrY0TTiKdYPtdWWyowHsLPa-LlcFBilOVF5rT-p2NcIpIFiaoVWq4JYhP2gNKiIBDcf9cUsiOp-lHxlK1f8z47M4ifttUxFxpeo438DcAJHUmJHtPatXfmJoU5RbbDgig3uabcTzOhH2s5Oewjht7o,,,DigiKey,BSS138K-13DICT-ND,Cut Tape,0.254,4.318,4.318,215811,1,https://octopart.com/opatz8j6/a1?t=2q-yz4firls7TvLWOTnpgffYSHOFsbkEbBX99nHbG_Bdx2vpuRr8brAT36IFt0b7od0ljFydusk5J2akkiYcHOaxR4-Uuai_g2BK-xVM9rTpCtYpjyTpTZRj04u6eu5n44tGg7JiSFChlXy8jMKVxA-es0sy7tC2TooKGa_UIBOmfbeZ7tZ6tDgH5rpFJ32cIXov055MQNJyuzMbNusQTrtoQOB0FUlM9NpxCQ52QaXjgALn2kgmN8zCU7q_KVBjtLTjrA,
E5J88-00LJG2-L,5,Pulse,E5J88-00LJG2-L,https://octopart.com/e5j88-00ljg2-l-pulse-17223372,Conn Modular Jack F 8 POS 1.02mm Solder RA Thru-Hole 8 Terminal 1 Port,,"J1, J2, J3, J4, J5",,Production (Last Updated: 2 years ago),10w,Compliant,5,553-2264-ND,673-E5J88-00LJG2-L,54AK6211,E5J88-00LJG2-L,,Tray,Bulk,,Bulk,,1.14,1.14,,,,28658,3549,0,3403,,1,1,3000,30,,https://octopart.com/opatz8j6/a1?t=FqhqtWvegTwxghdJoeTJUKZhbJ2sgw6RQxUW3xAxu_vgneBODL6rOJLZvSoc8rSIL-NXajnkVBKgxuzDgT-zGxPfTG3RjFsmlhiqGnNj4OJgOMf_TAUCYSRyLH0ips75UXCJO5SHYrDQu_s4MFD940T_DHCuiG5aQhrb0siZePlE60BNosqIe7xSU4FACj3R96cR3cOHDZHdZtNaCiQyw9wdQB-Hf0xtRDl0zX8kj9nRoQbRtQnNzqJkMmU3uEJ5VAz1,https://octopart.com/opatz8j6/a1?t=KNZc5wBS4xIobgbP7D-KiNYdaY1tnS3vJHeQQzwO0hxQeWilDJzSeff2lWvMbCNyd1ItetOXzyUNeI11KoKlVogA6tI4XwKVMR0v8mTEWV0hV1ud5rcIU2D6CncD59EE55j_kAlIfshexBPG3CC96_5JBUH5soypJrQ_-ATB9SoMrhUl4kxFoxQqfE6Y5vtzEjO_xc8xhrsfCpwtKUi7NI33PkbvoHLN5n_T0s68nxJP6tHLFcfRDh_XHmvTJK0hLkAlHA,https://octopart.com/opatz8j6/a1?t=h7zeNGuGQD7AvKwFVrQ1ZpT9ddmaAmYA7wVYWU1_GmCa2oQmAMT1blH61FW4Cv-zofidzxCiIIvJyFWTjrslsLj8ILjb_es-SAJ87hVZG7nctYXkEi62UEXMvrA0FJWMmop3UccYzvYeRlQAHjrMfwab9YjxvZpIiBFq7jCoMRgLb-NtyyOWVbCp8srTJGyZW5-bIHRADxmDToCA64prVym15HqdViRye4TPNvR5PUIIU7VsV3nbPbkyUapedNn-4e6M1A,https://octopart.com/opatz8j6/a1?t=igmUYbND8ZU7CrxVT48EenzxFLKIGwKl4sw8VcZcf0MgOFYvkGi13SSN5Wr4V6ZU_CeufrONI85SY_Yt5sZO5XFg_JwpO_QiSAflMmqi81PvmJ_m6a5XIEcLnL5TD-892bYecTn6ONxRUiS5PwlsfzcPuGOWJEzicGPYZATzZZatzrMd-kNXH7m7hE_bhqNskoaVA3UqUaT70-g3iqpoIEsnM9kayqx991Bv_RXiTmaX3-SJ6VPFY55p_Id5pgtLOJ6_7Q,,DigiKey,553-2264-ND,Tray,1.14,5.699999999999999,5.699999999999999,28658,1,https://octopart.com/opatz8j6/a1?t=FqhqtWvegTwxghdJoeTJUKZhbJ2sgw6RQxUW3xAxu_vgneBODL6rOJLZvSoc8rSIL-NXajnkVBKgxuzDgT-zGxPfTG3RjFsmlhiqGnNj4OJgOMf_TAUCYSRyLH0ips75UXCJO5SHYrDQu_s4MFD940T_DHCuiG5aQhrb0siZePlE60BNosqIe7xSU4FACj3R96cR3cOHDZHdZtNaCiQyw9wdQB-Hf0xtRDl0zX8kj9nRoQbRtQnNzqJkMmU3uEJ5VAz1,
M20-8890445,1,Harwin,M20-8890445,https://octopart.com/m20-8890445-harwin-76912496,"Connector, R/a Header, 4POS, 1ROW, 2.54MM;",,J6,,,18w,Non-Compliant,1,952-3233-ND,855-M20-8890445,45AJ6361,,,Tube,Tube,,,,0.66,0.66,,,,2561,51,674,,,1,1,10,,,https://octopart.com/opatz8j6/a1?t=qK0tzKeUOnstwCwiWDVVtpQPNByVT-eVoKlkM24m4sGZk0uvH0wxJAqDe3T_C4lRI4xe8Moj2W_rGnhbFVUjc3s9AMFJnl3Ck_44WKMEzPOhlRR_QiGPdM8x-otlm488VPwLcyr4IVOo49IH05a5ABl79cz6ZIxDRu5jrcvBgO5cEV6a3v0RCvoawwSUyc3wSofgviDkOlcgNcY_4G3Och6oqVLns-O0aMb8tInOU-ENBGd9OhTDC9qO55wzkBqKIt2Hqw,https://octopart.com/opatz8j6/a1?t=fa6Vr_CWbvvHYv9YYbI-JxMMFEDWXFSU4v1KMOhlOtdVtsYRqQZh95sf90MR6UNThXDHV4VezG-jk5KDoCAeecmJboRklm0hV-Z5b7fsgDfMOuscQWekYnmdyzvYxbJlJ-GfSj7eEg223wRBwzjrd_Sgl0iilfkcGLHK9GEIooPbJHQOjgelc2vUje-Hk2AdSpUUvJRP7ehGevKn2aoAx3p1rJytJaum2W_BdsTn0le_K-Ff2zVnTCv0W98qLEg5X5oglj0,https://octopart.com/opatz8j6/a1?t=KTz3LEHnheFp8_uvBH-6VrKKlEuP1jU8gjQSRNoADcxGy8hqSGO2pOMWfqOXJSiImFsNMP7OztltWgUrRo7S_7AJlxDs2twU1KiviYUpzl-bnA0d-5XJiKSZ_zYl1UfSz1PaDEI_j5dyhJ8GWj_yucckONzuADR_35ioAJPrMPKvaMXtA9Sd0Z3gxBLctY2XDL88j7YfvrbkPlIYnvc7thFWl82o5JhM5PGA3LRqTHiopjhbrwkzDwiCB7qx-zveHs1dXcY,,,DigiKey,952-3233-ND,Tube,0.66,0.66,0.66,2561,1,https://octopart.com/opatz8j6/a1?t=qK0tzKeUOnstwCwiWDVVtpQPNByVT-eVoKlkM24m4sGZk0uvH0wxJAqDe3T_C4lRI4xe8Moj2W_rGnhbFVUjc3s9AMFJnl3Ck_44WKMEzPOhlRR_QiGPdM8x-otlm488VPwLcyr4IVOo49IH05a5ABl79cz6ZIxDRu5jrcvBgO5cEV6a3v0RCvoawwSUyc3wSofgviDkOlcgNcY_4G3Och6oqVLns-O0aMb8tInOU-ENBGd9OhTDC9qO55wzkBqKIt2Hqw,
